Print_Date,Emancipation_Date_Start,Site,Emancipation_Date_End,Breed,Species_,SpayNeutered,Stage_,Photo,Location_,Sort_By,Intake_Date_From,Review_Date_From,Intake_Date_To,Review_Date_To,Pre_Altered,Show_Photo,Video
"Friday, September 5, 2025",All,All,All,All,All,All,All,All,All,SubLocation - Alphabetical,All,All,All,All,All,No,All

Location_1,AVG_LOS,Distinct_Animals,AnimalNumber,AnimalName,AnimalType,PrimaryBreed,Age,Color,Declawed,PreAltered,IntakeType,Sex,Stage,Location,ARN,ChipNumber,Species,SecondaryBreed,DateOfBirth,ColorPattern,EmancipationDate,SpayedNeutered,IntakeDateTime,LOSInDays,StageChangeReason,SubLocation,AnimalWeight,Danger,DangerType,NumberOfPictures,Videos,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,Total_Animals
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059232190,Leia,Cat,Domestic Shorthair,3y 11d,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Hold - Surgery,Cat Adoption Condo Rooms,,941010004620340,Cat,,8/25/2022 12:00:00 AM,,,N,9/2/2025 12:52 PM,3.10,Needs spay,Condo C,9.60 pound,No,,0,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059256194,FELIX,Cat,Domestic Shorthair,1y 8d,Black/White,N,N,Seized/Signed Over,M,Hold - Behavior Mod.,Cat Adoption Condo Rooms,,941010004492175,Cat,,8/28/2024 12:00:00 AM,,,Y,8/28/2025 12:01 PM,8.10,,Condo F,7.75 pound,No,,1,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059256204,POST MALONE,Cat,Domestic Shorthair,3m 8d,Brown/White,N,N,Seized/Signed Over,M,Hold - Possible Adoption,Cat Adoption Condo Rooms,,941010004626016,Cat,,5/28/2025 12:00:00 AM,Tabby/,,Y,8/28/2025 1:43 PM,8.00,,Condo F,3.00 pound,No,,3,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059256254,TAYLOR SWIFT,Cat,Domestic Shorthair,6m 8d,Brown/White,N,N,Seized/Signed Over,F,Available,Cat Adoption Condo Rooms,,941010004511705,Cat,,2/28/2025 12:00:00 AM,Tabby/,,Y,8/28/2025 12:01 PM,8.10,,Condo F,4.75 pound,No,,3,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0057756153,BAM,Cat,Domestic Shorthair,2y 7m 8d,Brown/White,N,Y,Return/Owned More than 30 Days - OTC!,M,Available,Cat Adoption Condo Rooms,,981020049048242,Cat,,1/30/2023 12:00:00 AM,Tabby/,,Y,8/26/2025 10:50 AM,10.20,,Meet & Greet 109B,11.50 pound,No,,3,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0057756173,BINX,Cat,Domestic Shorthair,5y 7m 8d,Grey/White,N,Y,Return/Owned More than 30 Days - OTC!,M,Available,Cat Adoption Condo Rooms,,941010002969200,Cat,,1/30/2020 12:00:00 AM,Tabby/,,Y,8/26/2025 10:50 AM,10.20,,Meet & Greet 109B,14.75 pound,No,,3,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0058955706,GIAVONNA,Other,GUINEA PIG,N/A,White/Black,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Available,Cat Adoption Condo Rooms,g pig 33,,Rodent,,,,,Y,7/22/2025 11:25 AM,45.10,,Rabbitat 2,1.00 pound,No,,3,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0058955726,Gianna,Other,GUINEA PIG,N/A,Brown/Tan/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Available,Cat Adoption Condo Rooms,g pig 38,,Rodent,,,Agouti/,,Y,7/22/2025 11:25 AM,45.10,,Rabbitat 2,1.40 pound,No,,3,No,,,,,495
  Cat Adoption Room G,Avg. LOS: 11,4,A0036769703,SUSHI,Cat,Domestic Shorthair,9y 4m 12d,Black/,N,Y,Return/Owned More than 30 Days - OTC!,F,Available,Cat Adoption Room G,,982000411884872,Cat,,4/24/2016 12:00:00 AM,,,Y,8/29/2025 10:04 AM,7.20,,01,7.50 pound,No,,1,No,,,,,495
  Cat Adoption Room G,Avg. LOS: 11,4,A0059232782,TOUCHDOWN,Cat,Domestic Shorthair,6y 11d,Brown/,N,Y,Seized/General,M,Hold - Possible Adoption,Cat Adoption Room G,,991001006174088,Cat,,8/25/2019 12:00:00 AM,Agouti/,,Y,8/25/2025 11:22 AM,11.10,,02,10.75 pound,No,,0,No,,,,,495
  Cat Adoption Room G,Avg. LOS: 11,4,A0059220220,POE,Cat,Domestic Shorthair,4m 14d,Black/,N,N,Stray/OTC,M,Available,Cat Adoption Room G,,941010004515913,Cat,,4/22/2025 12:00:00 AM,,,Y,8/22/2025 1:12 PM,14.00,ON MEDS,07,6.00 pound,No,,3,No,,,,,495
  Cat Adoption Room G,Avg. LOS: 11,4,A0059236527,Buzz Lightyear,Cat,Domestic Shorthair,4y 11d,Black/,N,Y,Seized/Signed Over,M,Available,Cat Adoption Room G,,941010004604956,Cat,,8/25/2021 12:00:00 AM,,,Y,8/25/2025 3:47 PM,11.00,,08,12.75 pound,No,,1,No,,,,,495
  Cat Behavior Room I,Avg. LOS: 36,3,A0059042672,Pretzel,Cat,Domestic Longhair,2m 29d,White/Brown,N,N,Stray/Field,F,Hold - Behavior,Cat Behavior Room I,,941010004485751,Cat,,6/7/2025 12:00:00 AM,Calico/,,Y,8/7/2025 8:38 AM,29.30,med clear for adoption,01,3.25 pound,No,,1,No,,,,,495
  Cat Behavior Room I,Avg. LOS: 36,3,A0058959677,Church,Cat,Domestic Shorthair,6m 4d,Blue/,N,N,Stray/OTC,M,Hold - Bite/Scratch,Cat Behavior Room I,,941010004233113,Cat,,3/1/2025 12:00:00 AM,,,Y,7/22/2025 3:40 PM,45.00,,05,4.00 pound,No,,0,No,,,,,495
  Cat Behavior Room I,Avg. LOS: 36,3,A0059038749,SHEBA,Cat,Domestic Shorthair,5y 1m 0d,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Hold - Behavior Mod.,Cat Behavior Room I,,982091064398564,Cat,,8/5/2020 12:00:00 AM,,,Y,8/4/2025 9:54 AM,32.20,,08,6.50 pound,No,,0,No,,,,,495
  Cat Isolation 231,Avg. LOS: 32,12,A0058901776,,Cat,Domestic Shorthair,2m 17d,Brown/,N,N,Stray/No Hold,F,Hold - Behavior,Cat Isolation 231,,941010004173307,Cat,,6/19/2025 12:00:00 AM,Tabby/,,Y,7/17/2025 3:02 PM,50.00,med clear for adoption,Cage 1,2.25 pound,No,,1,No,,,,,495
  Cat Isolation 231,Avg. LOS: 32,12,A0058901778,,Cat,Domestic Shorthair,2m 17d,Orange/,N,N,Stray/No Hold,M,Hold - Behavior,Cat Isolation 231,,941010004198567,Cat,,6/19/2025 12:00:00 AM,Tabby/,,Y,7/17/2025 3:02 PM,50.00,med clear for adoption,Cage 1,3.25 pound,No,,1,No,,,,,495
